"PMID","pvalue","n","remark"
30132067,0.3,113,""
30132067,0.6,113,""
30132067,0.4,113,""
30132067,0.017,113,""
30132067,0.006,113,""
30132067,0.002,113,""
30132067,0.07,113,""
30132067,0.4,113,""
30132067,0.3,113,""
30132107,0.379,506,""
30132107,0.008,506,""
30132107,0.029,506,""
30132107,0.735,506,""
30132566,NA,NA,"full text not available"
30132881,NA,NA,"only sign univariate p values reported"
30134357,0.1,37712,""
30134357,0.2,37712,""
30134357,0.51,37712,""
30134357,0.41,37712,""
30134357,0.07,37712,""
30134357,0.46,37712,""
30134357,0.29,37712,""
30134357,0.01,37712,""
30134357,0.72,37712,""
30136086,0.504,409,""
30136086,0.558,409,""
30136086,0.01,409,""
30136086,0.004,409,""
30136086,0.787,409,""
30136086,0.805,409,""
30136086,0.7,409,""
30136086,0.194,409,""
30136086,0.238,409,""
30138343,0.862,6780,""
30138343,0.004,6780,""
30138343,0.002,6780,""
30138343,0.001,6780,""
30138343,0.019,6780,""
30138343,0.038,6780,""
30138343,0.078,6780,""
30138343,0.006,6780,""
30138343,0.149,6780,""
30138343,0.273,6780,""
30138343,0.015,6780,""
30138343,0.153,6780,""
30138343,0.086,6780,""
30138343,0.055,6780,""
30138343,0.004,6780,""
30138343,0.002,6780,""
30138343,0.582,6780,""
30138343,0.64,6780,""
30138343,0.888,6780,""
30138343,0.355,6780,""
30138343,0.046,6780,""
30138343,0.013,6780,""
30138343,0.916,6780,""
30138343,0.475,6780,""
30138343,0.001,6780,""
30138343,0.01,6780,""
30138343,0.001,6780,""
30138594,0.149,42,""
30138594,0.458,42,""
30138594,0.23,42,""
30138594,0.023,42,""
30138594,0.04,42,""
